Количество видимых спутников	Время, с	Кол-во
0	15
765394570,10
765394580,10
765394590,10
765394600,10
765394610,10
765394620,10
765394630,10
765394640,10
765394650,10
765394660,10
765394670,10
765394680,10
765394690,9
765394700,9
765394710,9
765394720,9
765394730,9
765394740,9
765394750,9
765394760,9
765394770,9
765394780,9
765394790,9
765394800,9
765394810,9
765394820,9
765394830,9
765394840,9
765394850,9
765394860,8
765394870,8
765394880,10
765394890,10
765394900,10
765394910,10
765394920,10
765394930,10
765394940,10
765394950,10
765394960,10
765394970,10
765394980,10
765394990,10
765395000,11
765395010,10
765395020,9
765395030,10
765395040,10
765395050,10
765395060,10
765395070,9
765395080,9
765395090,9
765395100,9
765395110,9
765395120,9
765395130,9
765395140,9
765395150,9
765395160,9
765395170,9
765395180,8
765395190,8
765395200,8
765395210,8
765395220,9
765395230,9
765395240,9
765395250,9
765395260,9
765395270,9
765395280,9
765395290,9
765395300,9
765395310,9
765395320,10
765395330,10
765395340,10
765395350,10
765395360,10
765395370,10
765395380,10
765395390,10
765395400,10
765395410,10
765395420,10
765395430,10
765395440,10
765395450,10
765395460,10
765395470,10
765395480,10
765395490,10
765395500,9
765395510,8
765395520,9
765395530,9
765395540,8
765395550,8
765395560,8
765395570,8
765395580,8
765395590,8
765395600,9
765395610,9
765395620,9
765395630,9
765395640,9
765395650,9
765395660,9
765395670,9
765395680,9
765395690,9
765395700,9
765395710,9
765395720,9
765395730,10
765395740,9
765395750,9
765395760,9
765395770,9
765395780,9
765395790,9
765395800,9
765395810,9
765395820,9
765395830,9
765395840,9
765395850,10
765395860,10
765395870,10
765395880,10
765395890,10
765395900,9
765395910,9
765395920,9
765395930,9
765395940,9
765395950,8
765395960,8
765395970,9
765395980,9
765395990,9
765396000,9
765396010,9
765396020,9
765396030,9
765396040,9
765396050,8
765396060,8
765396070,8
765396080,8
765396090,8
765396100,8
765396110,8
765396120,8
765396130,8
765396140,8
765396150,8
765396160,8
765396170,8
765396180,8
765396190,8
765396200,8
765396210,8
765396220,8
765396230,8
765396240,8
765396250,9
765396260,9
765396270,9
765396280,9
765396290,9
765396300,9
765396310,9
765396320,9
765396330,9
765396340,9
765396350,9
765396360,9
765396370,9
765396380,9
765396390,9
765396400,9
765396410,9
765396420,9
765396430,9
765396440,9
765396450,9
765396460,9
765396470,9
765396480,9
765396490,9
765396500,9
765396510,9
765396520,9
765396530,9
765396540,9
765396550,9
765396560,9
765396570,9
765396580,9
765396590,9
765396600,9
765396610,9
765396620,9
765396630,9
765396640,9
765396650,9
765396660,9
765396670,9
765396680,9
765396690,10
765396700,10
765396710,10
765396720,10
765396730,10
765396740,10
765396750,10
765396760,10
765396770,10
765396780,10
765396790,10
765396800,10
765396810,9
765396820,9
765396830,9
765396840,10
765396850,10
765396860,10
765396870,9
765396880,9
765396890,9
765396900,9
765396910,9
765396920,8
765396930,9
765396940,9
765396950,9
765396960,9
765396970,9
765396980,8
765396990,8
765397000,9
765397010,9
765397020,9
765397030,8
765397040,8
765397050,8
765397060,7
765397070,7
765397080,7
765397090,7
765397100,7
765397110,7
765397120,7
765397130,7
765397140,7
765397150,7
765397160,8
765397170,8
765397180,8
765397190,9
765397200,9
765397210,9
765397220,9
765397230,8
765397240,8
765397250,8
765397260,8
765397270,8
765397280,8
765397290,8
765397300,8
765397310,8
765397320,8
765397330,8
765397340,8
765397350,8
765397360,7
765397370,7
765397380,7
765397390,7
765397400,7
765397410,7
765397420,7
765397430,7
765397440,7
765397450,7
765397460,7
765397470,7
765397480,7
765397490,7
765397500,7
765397510,7
765397520,7
765397530,7
765397540,7
765397550,7
765397560,7
