Модуль ошибки
Время, с	Ошибка, м
732807400	27.0318
732807410	27.0555
732807420	27.7681
732807430	28.2185
732807440	27.9403
732807450	28.5572
732807460	28.8264
732807470	28.9761
732807480	29.1039
732807490	29.4839
732807500	27.7804
732807510	29.9697
732807520	30.0362
732807530	30.6532
732807540	31.1208
732807550	31.2013
732807560	31.4612
732807570	32.2947
732807580	32.0538
732807590	32.086
732807600	32.6169
732807610	32.814
732807620	32.598
732807630	33.0176
732807640	32.7511
732807650	33.1801
732807660	33.2782
732807670	32.9664
732807680	33.4232
732807690	34.0136
732807700	33.9643
732807710	34.1098
732807720	34.2319
732807730	34.6708
732807740	34.7242
732807750	34.8971
732807760	35.3303
732807770	35.5836
732807780	35.3736
732807790	35.5538
732807800	35.9125
732807810	36.0533
732807820	36.0729
732807830	35.8058
732807840	36.5121
732807850	36.6149
732807860	36.5201
732807870	36.8263
732807880	37.3504
732807890	37.4865
732807900	37.9038
732807910	38.376
732807920	38.3811
732807930	38.5699
732807940	38.0082
732807950	37.8014
732807960	38.3723
732807970	39.0151
732807980	39.2696
732807990	37.8166
732808000	37.283
732808010	37.0973
732808020	37.2981
732808030	36.9572
732808040	37.1469
732808050	37.3796
732808060	37.2157
732808070	37.2064
732808080	37.3605
732808090	37.7868
732808100	37.7974
732808110	37.8193
732808120	38.0089
732808130	37.4256
732808140	37.0843
732808150	37.7339
732808160	37.4509
732808170	37.9017
732808180	37.4414
732808190	37.7615
732808200	37.0886
732808210	37.01
732808220	37.4079
732808230	37.3945
732808240	38.1638
732808250	37.1344
732808260	37.5039
732808270	37.0244
732808280	37.2834
732808290	36.882
732808300	37.0104
732808310	36.3751
732808320	36.5545
732808330	36.5574
732808340	36.6435
732808350	36.3013
732808360	36.1492
732808370	36.8
732808380	36.4698
732808390	36.4085
732808400	35.9536
732808410	35.7787
732808420	35.7176
732808430	35.1627
732808440	35.383
732808450	35.2143
732808460	34.9942
732808470	34.3583
732808480	34.2727
732808490	33.9717
732808500	33.5692
732808510	33.2875
732808520	32.9402
732808530	33.2767
732808540	32.9813
732808550	33.2534
732808560	32.7064
732808570	32.5158
732808580	32.2662
732808590	32.2099
732808600	31.8656
732808610	31.5538
732808620	31.5151
732808630	31.2021
732808640	31.0232
732808650	31.1122
732808660	30.4495
732808670	30.2206
732808680	29.8477
732808690	29.4906
732808700	29.4252
732808710	28.997
732808720	28.8664
732808730	28.7444
732808740	28.3914
732808750	28.7197
732808760	28.1269
732808770	27.6827
732808780	27.2191
732808790	27.3025
732808800	26.8841
732808810	26.3667
732808820	25.6788
732808830	25.9304
732808840	25.7878
732808850	24.7307
732808860	24.3756
732808870	24.4394
732808880	23.7854
732808890	23.7959
732808900	23.7538
732808910	23.6858
732808920	22.569
732808930	22.7165
732808940	22.0951
732808950	21.1951
732808960	20.8577
732808970	20.8116
732808980	20.5066
